Curve,λ (μm),Emittance
Curve 2,1.0,0.885
Curve 2,1.16,0.835
Curve 2,1.5,0.816
Curve 2,1.78,0.846
Curve 2,1.92,0.881
Curve 2,2.1,0.905
Curve 2,2.38,0.922
Curve 2,2.54,0.922
Curve 2,2.62,0.9
Curve 2,2.96,0.913
Curve 2,3.16,0.947
Curve 2,3.79,0.952
Curve 2,4.16,0.965
Curve 2,4.27,0.93
Curve 2,4.5,0.927
Curve 2,4.62,0.937
Curve 2,5.62,0.924
Curve 2,5.72,0.935
Curve 2,5.88,0.921
Curve 2,6.52,0.927
Curve 2,6.65,0.938
Curve 2,6.72,0.922
Curve 2,6.99,0.931
Curve 2,7.98,0.931
Curve 2,8.13,0.899
Curve 2,8.43,0.911
Curve 2,8.74,0.911
Curve 2,8.8,0.922
Curve 2,8.88,0.896
Curve 2,8.98,0.915
Curve 2,9.26,0.915
Curve 2,9.5,0.906
Curve 2,10.0,0.923
Curve 2,10.5,0.938
Curve 2,11.5,0.948
Curve 2,12.7,0.955
Curve 2,12.8,0.965
Curve 2,13.0,0.956
Curve 2,13.4,0.968
Curve 2,13.8,0.973
Curve 2,14.0,0.962
Curve 2,14.2,0.95
Curve 2,14.4,0.945
Curve 2,14.7,0.907
Curve 2,14.9,0.896
Curve 2,15.0,0.915
