Curve,λ (μm),Emittance
Curve 7,1.0,0.863
Curve 7,2.0,0.867
Curve 7,2.63,0.889
Curve 7,5.12,0.907
Curve 7,6.44,0.913
Curve 7,7.41,0.926
Curve 7,8.54,0.926
Curve 7,12.7,0.973
Curve 7,14.0,0.98
Curve 7,14.2,0.953
Curve 7,14.5,0.901
Curve 7,14.7,0.875
Curve 7,15.0,0.856
