Curve,T (K),Emittance
Curve 1,1023,0.91
Curve 2,1273,0.69
Curve 3,873,0.85
Curve 3,1073,0.9
Curve 3,1273,0.8
Curve 4,873,0.86
Curve 4,1073,0.91
Curve 4,1273,0.82
