Curve,λ (μm),Emittance
Curve 6,1.0,0.779
Curve 6,1.4,0.798
Curve 6,2.01,0.81
Curve 6,2.76,0.823
Curve 6,3.11,0.841
Curve 6,6.46,0.89
Curve 6,8.11,0.9
Curve 6,10.4,0.923
Curve 6,12.1,0.925
Curve 6,13.2,0.94
Curve 6,13.6,0.937
Curve 6,13.8,0.926
Curve 6,14.1,0.892
Curve 6,14.6,0.805
Curve 6,14.7,0.784
Curve 6,15.0,0.769
