Curve,λ (μm),Reflectance
Curve 1 (T=298K),0.55,0.55
Curve 1 (T=298K),1.17,0.575
Curve 1 (T=298K),1.55,0.605
Curve 1 (T=298K),2.05,0.623
Curve 1 (T=298K),2.45,0.65
Curve 1 (T=298K),3.05,0.7
Curve 1 (T=298K),4.05,0.765
Curve 1 (T=298K),4.8,0.795
Curve 1 (T=298K),5.45,0.825
Curve 1 (T=298K),6.1,0.855
Curve 1 (T=298K),6.6,0.86
Curve 1 (T=298K),7.1,0.87
Curve 1 (T=298K),7.5,0.875
Curve 1 (T=298K),8.1,0.885
Curve 1 (T=298K),8.45,0.9
Curve 1 (T=298K),8.8,0.903
Curve 1 (T=298K),9.4,0.92
